hr_medicao,cdg_stacao,radiacao
2019-01-09 00:00:00.000000,A001,-3.5
2019-01-09 01:00:00.000000,A001,-3.5
2019-01-09 02:00:00.000000,A001,-3.5
2019-01-09 03:00:00.000000,A001,-3.5
2019-01-09 04:00:00.000000,A001,-3.5
2019-01-09 05:00:00.000000,A001,-3.5
2019-01-09 06:00:00.000000,A001,-3.5
2019-01-09 07:00:00.000000,A001,-3.5
2019-01-09 08:00:00.000000,A001,-3.5
2019-01-09 09:00:00.000000,A001,-2.4
2019-01-09 10:00:00.000000,A001,261.8
2019-01-09 11:00:00.000000,A001,1191.1
2019-01-09 12:00:00.000000,A001,1548.8
2019-01-09 13:00:00.000000,A001,2495.1
2019-01-09 14:00:00.000000,A001,3313.2
2019-01-09 15:00:00.000000,A001,2983.5
2019-01-09 16:00:00.000000,A001,3877.7
2019-01-09 17:00:00.000000,A001,3258.3
2019-01-09 18:00:00.000000,A001,3183.3
2019-01-09 19:00:00.000000,A001,2317.8
2019-01-09 20:00:00.000000,A001,1784.5
2019-01-09 21:00:00.000000,A001,1100.9
2019-01-09 22:00:00.000000,A001,341.9
2019-01-09 23:00:00.000000,A001,-2.7
2019-01-09 00:00:00.000000,A012,-3.5
2019-01-09 01:00:00.000000,A012,-3.5
2019-01-09 02:00:00.000000,A012,-3.5
2019-01-09 03:00:00.000000,A012,-3.5
2019-01-09 04:00:00.000000,A012,-3.5
2019-01-09 05:00:00.000000,A012,-3.5
2019-01-09 06:00:00.000000,A012,-3.5
2019-01-09 07:00:00.000000,A012,-3.5
2019-01-09 08:00:00.000000,A012,-3.5
2019-01-09 09:00:00.000000,A012,3.3
2019-01-09 10:00:00.000000,A012,380.1
2019-01-09 11:00:00.000000,A012,985.3
2019-01-09 12:00:00.000000,A012,1806.3
2019-01-09 13:00:00.000000,A012,2403.2
2019-01-09 14:00:00.000000,A012,2415.2
2019-01-09 15:00:00.000000,A012,2740.9
2019-01-09 16:00:00.000000,A012,2944.5
2019-01-09 17:00:00.000000,A012,2714.3
2019-01-09 18:00:00.000000,A012,2205.6
2019-01-09 19:00:00.000000,A012,1865.4
2019-01-09 20:00:00.000000,A012,1603.6
2019-01-09 21:00:00.000000,A012,952.1
2019-01-09 22:00:00.000000,A012,182.7
2019-01-09 23:00:00.000000,A012,-3.5
2019-01-09 00:00:00.000000,A036,-3.5
2019-01-09 01:00:00.000000,A036,-3.5
2019-01-09 02:00:00.000000,A036,-3.5
2019-01-09 03:00:00.000000,A036,-3.5
2019-01-09 04:00:00.000000,A036,-3.5
2019-01-09 05:00:00.000000,A036,-3.5
2019-01-09 06:00:00.000000,A036,-3.5
2019-01-09 07:00:00.000000,A036,-3.5
2019-01-09 08:00:00.000000,A036,-3.5
2019-01-09 09:00:00.000000,A036,14.7
2019-01-09 10:00:00.000000,A036,503.8
2019-01-09 11:00:00.000000,A036,1268.8
2019-01-09 12:00:00.000000,A036,1685.4
2019-01-09 13:00:00.000000,A036,1273.4
2019-01-09 14:00:00.000000,A036,2446.4
2019-01-09 15:00:00.000000,A036,2818.4
2019-01-09 16:00:00.000000,A036,3362.5
2019-01-09 17:00:00.000000,A036,3595.5
2019-01-09 18:00:00.000000,A036,2842.5
2019-01-09 19:00:00.000000,A036,2276.7
2019-01-09 20:00:00.000000,A036,1428.3
2019-01-09 21:00:00.000000,A036,683.3
2019-01-09 22:00:00.000000,A036,87.4
2019-01-09 23:00:00.000000,A036,-3.5
2019-01-09 00:00:00.000000,A042,-3.6
2019-01-09 01:00:00.000000,A042,-3.6
2019-01-09 02:00:00.000000,A042,-3.6
2019-01-09 03:00:00.000000,A042,-3.6
2019-01-09 04:00:00.000000,A042,-3.6
2019-01-09 05:00:00.000000,A042,-3.6
2019-01-09 06:00:00.000000,A042,-3.6
2019-01-09 07:00:00.000000,A042,-3.6
2019-01-09 08:00:00.000000,A042,-3.6
2019-01-09 09:00:00.000000,A042,3.1
2019-01-09 10:00:00.000000,A042,325.5
2019-01-09 11:00:00.000000,A042,1069.4
2019-01-09 12:00:00.000000,A042,1868.7
2019-01-09 13:00:00.000000,A042,2513.9
2019-01-09 14:00:00.000000,A042,2924
2019-01-09 15:00:00.000000,A042,2862.2
2019-01-09 16:00:00.000000,A042,3453.7
2019-01-09 17:00:00.000000,A042,3168.2
2019-01-09 18:00:00.000000,A042,2116.7
2019-01-09 19:00:00.000000,A042,1249.1
2019-01-09 20:00:00.000000,A042,1678.6
2019-01-09 21:00:00.000000,A042,816.8
2019-01-09 22:00:00.000000,A042,273.2
2019-01-09 23:00:00.000000,A042,-3.6
2019-01-09 00:00:00.000000,A045,-3.6
2019-01-09 01:00:00.000000,A045,-3.6
2019-01-09 02:00:00.000000,A045,-3.6
2019-01-09 03:00:00.000000,A045,-3.6
2019-01-09 04:00:00.000000,A045,-3.6
2019-01-09 05:00:00.000000,A045,-3.6
2019-01-09 06:00:00.000000,A045,-3.6
2019-01-09 07:00:00.000000,A045,-3.6
2019-01-09 08:00:00.000000,A045,-3.6
2019-01-09 09:00:00.000000,A045,4.5
2019-01-09 10:00:00.000000,A045,515.7
2019-01-09 11:00:00.000000,A045,1301.4
2019-01-09 12:00:00.000000,A045,2368.9
2019-01-09 13:00:00.000000,A045,2779
2019-01-09 14:00:00.000000,A045,2442.9
2019-01-09 15:00:00.000000,A045,3018.2
2019-01-09 16:00:00.000000,A045,3101.9
2019-01-09 17:00:00.000000,A045,2494.7
2019-01-09 18:00:00.000000,A045,3016.3
2019-01-09 19:00:00.000000,A045,2158.7
2019-01-09 20:00:00.000000,A045,1716
2019-01-09 21:00:00.000000,A045,638.8
2019-01-09 22:00:00.000000,A045,106.4
2019-01-09 23:00:00.000000,A045,-3.6
2019-01-09 00:00:00.000000,A056,-3.6
2019-01-09 01:00:00.000000,A056,-3.6
2019-01-09 02:00:00.000000,A056,-3.6
2019-01-09 03:00:00.000000,A056,-3.6
2019-01-09 04:00:00.000000,A056,-3.5
2019-01-09 05:00:00.000000,A056,-3.6
2019-01-09 06:00:00.000000,A056,-3.6
2019-01-09 07:00:00.000000,A056,-3.6
2019-01-09 08:00:00.000000,A056,-3.6
2019-01-09 09:00:00.000000,A056,6.9
2019-01-09 10:00:00.000000,A056,313.7
2019-01-09 11:00:00.000000,A056,1203.4
2019-01-09 12:00:00.000000,A056,1697.8
2019-01-09 13:00:00.000000,A056,2477.4
2019-01-09 14:00:00.000000,A056,3001.8
2019-01-09 15:00:00.000000,A056,2758.2
2019-01-09 16:00:00.000000,A056,3331.9
2019-01-09 17:00:00.000000,A056,3313.2
2019-01-09 18:00:00.000000,A056,2936.6
2019-01-09 19:00:00.000000,A056,2689.7
2019-01-09 20:00:00.000000,A056,1625.5
2019-01-09 21:00:00.000000,A056,986.7
2019-01-09 22:00:00.000000,A056,175.2
2019-01-09 23:00:00.000000,A056,-3.6
2019-01-09 00:00:00.000000,A046,-3.5
2019-01-09 01:00:00.000000,A046,-3.5
2019-01-09 02:00:00.000000,A046,-3.5
2019-01-09 03:00:00.000000,A046,-3.5
2019-01-09 04:00:00.000000,A046,-3.5
2019-01-09 05:00:00.000000,A046,-3.5
2019-01-09 06:00:00.000000,A046,-3.5
2019-01-09 07:00:00.000000,A046,-3.5
2019-01-09 08:00:00.000000,A046,-3.5
2019-01-09 09:00:00.000000,A046,4.8
2019-01-09 10:00:00.000000,A046,379.1
2019-01-09 11:00:00.000000,A046,1204
2019-01-09 12:00:00.000000,A046,1912.8
2019-01-09 13:00:00.000000,A046,2362.8
2019-01-09 14:00:00.000000,A046,2660
2019-01-09 15:00:00.000000,A046,3150.6
2019-01-09 16:00:00.000000,A046,3388.5
2019-01-09 17:00:00.000000,A046,3177.9
2019-01-09 18:00:00.000000,A046,3200.8
2019-01-09 19:00:00.000000,A046,2235.9
2019-01-09 20:00:00.000000,A046,1686.3
2019-01-09 21:00:00.000000,A046,621.9
2019-01-09 22:00:00.000000,A046,142.5
2019-01-09 23:00:00.000000,A046,-3.5
2019-01-09 00:00:00.000000,A047,-3.6
2019-01-09 01:00:00.000000,A047,-3.6
2019-01-09 02:00:00.000000,A047,-3.6
2019-01-09 03:00:00.000000,A047,-3.6
2019-01-09 04:00:00.000000,A047,-3.6
2019-01-09 05:00:00.000000,A047,-3.6
2019-01-09 06:00:00.000000,A047,-3.6
2019-01-09 07:00:00.000000,A047,-3.6
2019-01-09 08:00:00.000000,A047,-3.6
2019-01-09 09:00:00.000000,A047,7.3
2019-01-09 10:00:00.000000,A047,437.1
2019-01-09 11:00:00.000000,A047,1259.9
2019-01-09 12:00:00.000000,A047,2002.8
2019-01-09 13:00:00.000000,A047,2328.9
2019-01-09 14:00:00.000000,A047,3024.5
2019-01-09 15:00:00.000000,A047,3644.1
2019-01-09 16:00:00.000000,A047,3517.9
2019-01-09 17:00:00.000000,A047,3742.6
2019-01-09 18:00:00.000000,A047,3084.3
2019-01-09 19:00:00.000000,A047,2777.8
2019-01-09 20:00:00.000000,A047,1920.1
2019-01-09 21:00:00.000000,A047,855.5
2019-01-09 22:00:00.000000,A047,73
2019-01-09 23:00:00.000000,A047,-3.6
