hr_medicao,cdg_stacao,vento_direcao
2019-01-09 00:00:00.000000,A001,95
2019-01-09 01:00:00.000000,A001,86
2019-01-09 02:00:00.000000,A001,79
2019-01-09 03:00:00.000000,A001,75
2019-01-09 04:00:00.000000,A001,72
2019-01-09 05:00:00.000000,A001,71
2019-01-09 06:00:00.000000,A001,64
2019-01-09 07:00:00.000000,A001,69
2019-01-09 08:00:00.000000,A001,64
2019-01-09 09:00:00.000000,A001,94
2019-01-09 10:00:00.000000,A001,60
2019-01-09 11:00:00.000000,A001,72
2019-01-09 12:00:00.000000,A001,85
2019-01-09 13:00:00.000000,A001,84
2019-01-09 14:00:00.000000,A001,96
2019-01-09 15:00:00.000000,A001,62
2019-01-09 16:00:00.000000,A001,108
2019-01-09 17:00:00.000000,A001,75
2019-01-09 18:00:00.000000,A001,46
2019-01-09 19:00:00.000000,A001,74
2019-01-09 20:00:00.000000,A001,66
2019-01-09 21:00:00.000000,A001,102
2019-01-09 22:00:00.000000,A001,98
2019-01-09 23:00:00.000000,A001,118
2019-01-09 00:00:00.000000,A012,55
2019-01-09 01:00:00.000000,A012,61
2019-01-09 02:00:00.000000,A012,59
2019-01-09 03:00:00.000000,A012,41
2019-01-09 04:00:00.000000,A012,36
2019-01-09 05:00:00.000000,A012,44
2019-01-09 06:00:00.000000,A012,74
2019-01-09 07:00:00.000000,A012,24
2019-01-09 08:00:00.000000,A012,69
2019-01-09 09:00:00.000000,A012,59
2019-01-09 10:00:00.000000,A012,59
2019-01-09 11:00:00.000000,A012,62
2019-01-09 12:00:00.000000,A012,75
2019-01-09 13:00:00.000000,A012,58
2019-01-09 14:00:00.000000,A012,72
2019-01-09 15:00:00.000000,A012,69
2019-01-09 16:00:00.000000,A012,89
2019-01-09 17:00:00.000000,A012,77
2019-01-09 18:00:00.000000,A012,92
2019-01-09 19:00:00.000000,A012,104
2019-01-09 20:00:00.000000,A012,94
2019-01-09 21:00:00.000000,A012,116
2019-01-09 22:00:00.000000,A012,107
2019-01-09 23:00:00.000000,A012,96
2019-01-09 00:00:00.000000,A036,42
2019-01-09 01:00:00.000000,A036,53
2019-01-09 02:00:00.000000,A036,50
2019-01-09 03:00:00.000000,A036,45
