hr_medicao,cdg_stacao,radiacao
2019-02-17 00:00:00.000000,A001,-1.6
2019-02-17 01:00:00.000000,A001,-2.6
2019-02-17 02:00:00.000000,A001,-2.2
2019-02-17 03:00:00.000000,A001,-2.4
2019-02-17 04:00:00.000000,A001,-2.6
2019-02-17 05:00:00.000000,A001,-1
2019-02-17 06:00:00.000000,A001,-2.2
2019-02-17 07:00:00.000000,A001,-2.5
2019-02-17 08:00:00.000000,A001,-2.7
2019-02-17 09:00:00.000000,A001,-2.4
2019-02-17 10:00:00.000000,A001,54.1
2019-02-17 11:00:00.000000,A001,232.8
2019-02-17 12:00:00.000000,A001,312.1
2019-02-17 13:00:00.000000,A001,522.2
2019-02-17 14:00:00.000000,A001,954.4
2019-02-17 15:00:00.000000,A001,1092.8
2019-02-17 16:00:00.000000,A001,1700.2
2019-02-17 17:00:00.000000,A001,1761.3
2019-02-17 18:00:00.000000,A001,1707.9
2019-02-17 19:00:00.000000,A001,1074.9
2019-02-17 20:00:00.000000,A001,416.3
2019-02-17 21:00:00.000000,A001,632.2
2019-02-17 22:00:00.000000,A001,118.3
2019-02-17 23:00:00.000000,A001,-1.3
2019-02-18 00:00:00.000000,A001,-2.6
2019-02-18 01:00:00.000000,A001,-3.3
2019-02-18 02:00:00.000000,A001,-3.1
2019-02-18 03:00:00.000000,A001,-3.5
2019-02-18 04:00:00.000000,A001,-3.5
2019-02-18 05:00:00.000000,A001,-1.4
2019-02-18 06:00:00.000000,A001,-1.7
2019-02-18 07:00:00.000000,A001,-2.5
2019-02-18 08:00:00.000000,A001,-2.7
2019-02-18 09:00:00.000000,A001,-1.9
2019-02-18 10:00:00.000000,A001,45.8
2019-02-18 11:00:00.000000,A001,236.3
2019-02-18 12:00:00.000000,A001,742.9
2019-02-18 13:00:00.000000,A001,847.8
2019-02-18 14:00:00.000000,A001,775
2019-02-18 15:00:00.000000,A001,795
2019-02-18 16:00:00.000000,A001,789.3
2019-02-18 17:00:00.000000,A001,954.9
2019-02-18 18:00:00.000000,A001,1270.4
2019-02-18 19:00:00.000000,A001,1231.6
2019-02-18 20:00:00.000000,A001,879.6
2019-02-18 21:00:00.000000,A001,348.4
2019-02-18 22:00:00.000000,A001,96.1
2019-02-18 23:00:00.000000,A001,-2.9
2019-02-19 00:00:00.000000,A001,-2.5
2019-02-19 01:00:00.000000,A001,-3.2
2019-02-19 02:00:00.000000,A001,-2.5
