hr_medicao,cdg_stacao,vento_direcao
2019-02-17 00:00:00.000000,A001,291
2019-02-17 01:00:00.000000,A001,336
2019-02-17 02:00:00.000000,A001,337
2019-02-17 03:00:00.000000,A001,330
2019-02-17 04:00:00.000000,A001,334
2019-02-17 05:00:00.000000,A001,329
2019-02-17 06:00:00.000000,A001,324
2019-02-17 07:00:00.000000,A001,325
2019-02-17 08:00:00.000000,A001,325
2019-02-17 09:00:00.000000,A001,321
2019-02-17 10:00:00.000000,A001,327
2019-02-17 11:00:00.000000,A001,332
2019-02-17 12:00:00.000000,A001,338
2019-02-17 13:00:00.000000,A001,329
2019-02-17 14:00:00.000000,A001,328
2019-02-17 15:00:00.000000,A001,331
2019-02-17 16:00:00.000000,A001,318
2019-02-17 17:00:00.000000,A001,319
2019-02-17 18:00:00.000000,A001,315
2019-02-17 19:00:00.000000,A001,322
2019-02-17 20:00:00.000000,A001,325
2019-02-17 21:00:00.000000,A001,309
2019-02-17 22:00:00.000000,A001,305
2019-02-17 23:00:00.000000,A001,328
2019-02-18 00:00:00.000000,A001,343
2019-02-18 01:00:00.000000,A001,13
2019-02-18 02:00:00.000000,A001,321
2019-02-18 03:00:00.000000,A001,333
2019-02-18 04:00:00.000000,A001,349
2019-02-18 05:00:00.000000,A001,336
2019-02-18 06:00:00.000000,A001,348
2019-02-18 07:00:00.000000,A001,333
2019-02-18 08:00:00.000000,A001,340
2019-02-18 09:00:00.000000,A001,332
2019-02-18 10:00:00.000000,A001,334
2019-02-18 11:00:00.000000,A001,335
2019-02-18 12:00:00.000000,A001,325
2019-02-18 13:00:00.000000,A001,332
2019-02-18 14:00:00.000000,A001,332
2019-02-18 15:00:00.000000,A001,335
2019-02-18 16:00:00.000000,A001,309
2019-02-18 17:00:00.000000,A001,313
2019-02-18 18:00:00.000000,A001,322
2019-02-18 19:00:00.000000,A001,312
2019-02-18 20:00:00.000000,A001,315
2019-02-18 21:00:00.000000,A001,321
2019-02-18 22:00:00.000000,A001,359
2019-02-18 23:00:00.000000,A001,344
2019-02-19 00:00:00.000000,A001,288
2019-02-19 01:00:00.000000,A001,251
2019-02-19 02:00:00.000000,A001,276
2019-02-19 03:00:00.000000,A001,276
2019-02-19 04:00:00.000000,A001,107
2019-02-19 05:00:00.000000,A001,259
2019-02-19 06:00:00.000000,A001,11
2019-02-19 07:00:00.000000,A001,2
2019-02-19 08:00:00.000000,A001,9
2019-02-19 09:00:00.000000,A001,22
2019-02-19 10:00:00.000000,A001,19
2019-02-19 11:00:00.000000,A001,1
2019-02-19 12:00:00.000000,A001,8
2019-02-19 13:00:00.000000,A001,348
2019-02-19 14:00:00.000000,A001,5
2019-02-19 15:00:00.000000,A001,323
2019-02-19 16:00:00.000000,A001,290
2019-02-19 17:00:00.000000,A001,265
2019-02-19 18:00:00.000000,A001,301
2019-02-19 19:00:00.000000,A001,309
2019-02-19 20:00:00.000000,A001,300
2019-02-19 21:00:00.000000,A001,300
2019-02-19 22:00:00.000000,A001,289
2019-02-19 23:00:00.000000,A001,293
2019-02-20 00:00:00.000000,A001,287
2019-02-20 01:00:00.000000,A001,315
2019-02-20 02:00:00.000000,A001,310
2019-02-20 03:00:00.000000,A001,321
2019-02-20 04:00:00.000000,A001,257
2019-02-20 05:00:00.000000,A001,286
2019-02-20 06:00:00.000000,A001,302
2019-02-20 07:00:00.000000,A001,290
2019-02-20 08:00:00.000000,A001,304
2019-02-20 09:00:00.000000,A001,11
2019-02-20 10:00:00.000000,A001,342
2019-02-20 11:00:00.000000,A001,285
2019-02-20 12:00:00.000000,A001,321
2019-02-20 13:00:00.000000,A001,15
2019-02-20 14:00:00.000000,A001,353
2019-02-20 15:00:00.000000,A001,15
2019-02-20 16:00:00.000000,A001,346
2019-02-20 17:00:00.000000,A001,354
2019-02-20 18:00:00.000000,A001,329
2019-02-20 19:00:00.000000,A001,337
2019-02-20 20:00:00.000000,A001,331
2019-02-20 21:00:00.000000,A001,326
2019-02-20 22:00:00.000000,A001,303
2019-02-20 23:00:00.000000,A001,306
2019-02-21 00:00:00.000000,A001,335
2019-02-21 01:00:00.000000,A001,309
2019-02-21 02:00:00.000000,A001,307
2019-02-21 03:00:00.000000,A001,321
2019-02-21 04:00:00.000000,A001,275
2019-02-21 05:00:00.000000,A001,288
2019-02-21 06:00:00.000000,A001,292
2019-02-21 07:00:00.000000,A001,270
2019-02-21 08:00:00.000000,A001,9
2019-02-21 09:00:00.000000,A001,352
2019-02-21 10:00:00.000000,A001,314
2019-02-21 11:00:00.000000,A001,123
2019-02-21 12:00:00.000000,A001,327
2019-02-21 13:00:00.000000,A001,41
2019-02-21 14:00:00.000000,A001,68
2019-02-21 15:00:00.000000,A001,52
2019-02-21 16:00:00.000000,A001,79
2019-02-21 17:00:00.000000,A001,72
2019-02-21 18:00:00.000000,A001,174
2019-02-21 19:00:00.000000,A001,168
2019-02-21 20:00:00.000000,A001,253
2019-02-21 21:00:00.000000,A001,95
2019-02-21 22:00:00.000000,A001,111
2019-02-21 23:00:00.000000,A001,74
2019-02-22 00:00:00.000000,A001,173
2019-02-22 01:00:00.000000,A001,95
2019-02-22 02:00:00.000000,A001,17
2019-02-22 03:00:00.000000,A001,118
2019-02-22 04:00:00.000000,A001,123
2019-02-22 05:00:00.000000,A001,272
2019-02-22 06:00:00.000000,A001,317
2019-02-22 07:00:00.000000,A001,72
2019-02-22 08:00:00.000000,A001,137
2019-02-22 09:00:00.000000,A001,126
2019-02-22 10:00:00.000000,A001,121
2019-02-22 11:00:00.000000,A001,133
2019-02-22 12:00:00.000000,A001,105
2019-02-22 13:00:00.000000,A001,108
2019-02-22 14:00:00.000000,A001,83
2019-02-22 15:00:00.000000,A001,89
2019-02-22 16:00:00.000000,A001,86
2019-02-22 17:00:00.000000,A001,56
2019-02-22 18:00:00.000000,A001,58
2019-02-22 19:00:00.000000,A001,59
2019-02-22 20:00:00.000000,A001,17
2019-02-22 21:00:00.000000,A001,80
2019-02-22 22:00:00.000000,A001,42
2019-02-22 23:00:00.000000,A001,112
2019-02-23 00:00:00.000000,A001,13
2019-02-23 01:00:00.000000,A001,270
2019-02-23 02:00:00.000000,A001,318
2019-02-23 03:00:00.000000,A001,303
2019-02-23 04:00:00.000000,A001,205
2019-02-23 05:00:00.000000,A001,221
2019-02-23 06:00:00.000000,A001,292
2019-02-23 07:00:00.000000,A001,18
2019-02-23 08:00:00.000000,A001,27
2019-02-23 09:00:00.000000,A001,15
2019-02-23 10:00:00.000000,A001,10
2019-02-23 11:00:00.000000,A001,3
2019-02-23 12:00:00.000000,A001,20
2019-02-23 13:00:00.000000,A001,31
2019-02-23 14:00:00.000000,A001,36
2019-02-23 15:00:00.000000,A001,75
2019-02-23 16:00:00.000000,A001,56
2019-02-23 17:00:00.000000,A001,62
2019-02-23 18:00:00.000000,A001,68
2019-02-23 19:00:00.000000,A001,50
2019-02-23 20:00:00.000000,A001,55
2019-02-23 21:00:00.000000,A001,31
2019-02-23 22:00:00.000000,A001,70
2019-02-23 23:00:00.000000,A001,22
2019-02-24 00:00:00.000000,A001,38
2019-02-24 01:00:00.000000,A001,192
2019-02-24 02:00:00.000000,A001,102
2019-02-24 03:00:00.000000,A001,311
2019-02-24 04:00:00.000000,A001,7
2019-02-24 05:00:00.000000,A001,292
2019-02-24 06:00:00.000000,A001,275
2019-02-24 07:00:00.000000,A001,350
2019-02-24 08:00:00.000000,A001,340
2019-02-24 09:00:00.000000,A001,323
2019-02-24 10:00:00.000000,A001,229
2019-02-24 11:00:00.000000,A001,347
2019-02-24 12:00:00.000000,A001,339
2019-02-24 13:00:00.000000,A001,44
2019-02-24 14:00:00.000000,A001,80
2019-02-24 15:00:00.000000,A001,78
2019-02-24 16:00:00.000000,A001,11
2019-02-24 17:00:00.000000,A001,47
2019-02-24 18:00:00.000000,A001,28
2019-02-24 19:00:00.000000,A001,13
2019-02-24 20:00:00.000000,A001,319
2019-02-24 21:00:00.000000,A001,208
2019-02-24 22:00:00.000000,A001,209
2019-02-24 23:00:00.000000,A001,299
2019-02-25 00:00:00.000000,A001,314
2019-02-25 01:00:00.000000,A001,98
2019-02-25 02:00:00.000000,A001,346
2019-02-25 03:00:00.000000,A001,190
2019-02-25 04:00:00.000000,A001,235
2019-02-25 05:00:00.000000,A001,24
2019-02-25 06:00:00.000000,A001,241
2019-02-25 07:00:00.000000,A001,235
2019-02-25 08:00:00.000000,A001,283
2019-02-25 09:00:00.000000,A001,247
2019-02-25 10:00:00.000000,A001,62
2019-02-25 11:00:00.000000,A001,223
2019-02-25 12:00:00.000000,A001,283
2019-02-25 13:00:00.000000,A001,294
2019-02-25 14:00:00.000000,A001,168
2019-02-25 15:00:00.000000,A001,153
2019-02-25 16:00:00.000000,A001,96
2019-02-25 17:00:00.000000,A001,95
2019-02-25 18:00:00.000000,A001,280
2019-02-25 19:00:00.000000,A001,299
2019-02-25 20:00:00.000000,A001,281
2019-02-25 21:00:00.000000,A001,226
2019-02-25 22:00:00.000000,A001,133
2019-02-25 23:00:00.000000,A001,288
2019-02-26 00:00:00.000000,A001,340
2019-02-26 01:00:00.000000,A001,251
2019-02-26 02:00:00.000000,A001,326
2019-02-26 03:00:00.000000,A001,303
2019-02-26 04:00:00.000000,A001,263
2019-02-26 05:00:00.000000,A001,290
2019-02-26 06:00:00.000000,A001,320
2019-02-26 07:00:00.000000,A001,327
2019-02-26 08:00:00.000000,A001,320
2019-02-26 09:00:00.000000,A001,331
2019-02-26 10:00:00.000000,A001,320
2019-02-26 11:00:00.000000,A001,309
2019-02-26 12:00:00.000000,A001,299
2019-02-26 13:00:00.000000,A001,309
2019-02-26 14:00:00.000000,A001,286
2019-02-26 15:00:00.000000,A001,286
2019-02-26 16:00:00.000000,A001,297
2019-02-26 17:00:00.000000,A001,315
2019-02-26 18:00:00.000000,A001,314
2019-02-26 19:00:00.000000,A001,325
