cidade,situacao,latitude,longitude,altitude,cdg_estacao,sg_estado
BRASILIA,Operante,-15.789444440000000000000000000000,-47.925833320000000000000000000000,-47.925833320000000000000000000000,A001,DF
GOIANIA,Operante,-16.642777770000000000000000000000,-49.220277770000000000000000000000,-49.220277770000000000000000000000,A002,GO
MORRINHOS,Operante,-17.745066000000000000000000000000,-49.101698000000000000000000000000,-49.101698000000000000000000000000,A003,GO
PORANGATU,Operante,-13.309444440000000000000000000000,-49.117499990000000000000000000000,-49.117499990000000000000000000000,A005,GO
PALMAS,Operante,-10.147777770000000000000000000000,-48.314444440000000000000000000000,-48.314444440000000000000000000000,A009,TO
PARANA,Operante,-12.615000000000000000000000000000,-47.871944430000000000000000000000,-47.871944430000000000000000000000,A010,TO
SAO SIMAO,Operante,-18.969142000000000000000000000000,-50.633449000000000000000000000000,-50.633449000000000000000000000000,A011,GO
LUZIANIA,Operante,-16.260555550000000000000000000000,-47.966944430000000000000000000000,-47.966944430000000000000000000000,A012,GO
ARAGARCAS,Operante,-15.902777770000000000000000000000,-52.245277770000000000000000000000,-52.245277770000000000000000000000,A013,GO
GOIAS,Pane,-15.939722210000000000000000000000,-50.141388880000000000000000000000,-50.141388880000000000000000000000,A014,GO
ITAPACI,Pane,-14.979722210000000000000000000000,-49.539444440000000000000000000000,-49.539444440000000000000000000000,A015,GO
JATAI,Operante,-17.923611100000000000000000000000,-51.717499990000000000000000000000,-51.717499990000000000000000000000,A016,GO
POSSE,Operante,-14.089166660000000000000000000000,-46.366388880000000000000000000000,-46.366388880000000000000000000000,A017,GO
PEIXE,Operante,-12.015277770000000000000000000000,-48.544444440000000000000000000000,-48.544444440000000000000000000000,A018,TO
GURUPI,Operante,-11.744999990000000000000000000000,-49.051666660000000000000000000000,-49.051666660000000000000000000000,A019,TO
PEDRO AFONSO,Operante,-8.968611100000000000000000000000,-48.177222210000000000000000000000,-48.177222210000000000000000000000,A020,TO
ARAGUAINA,Operante,-7.103888880000000000000000000000,-48.201111110000000000000000000000,-48.201111110000000000000000000000,A021,TO
GOIANESIA,Operante,-15.220277770000000000000000000000,-48.989999990000000000000000000000,-48.989999990000000000000000000000,A022,GO
CAIAPONIA,Operante,-16.966944430000000000000000000000,-51.817499990000000000000000000000,-51.817499990000000000000000000000,A023,GO
ALTO PARAISO DE GOIAS,Operante,-14.133055540000000000000000000000,-47.523333320000000000000000000000,-47.523333320000000000000000000000,A024,GO
RIO VERDE,Operante,-17.785277770000000000000000000000,-50.965000000000000000000000000000,-50.965000000000000000000000000000,A025,GO
MINEIROS,Operante,-17.454722220000000000000000000000,-52.601111110000000000000000000000,-52.601111110000000000000000000000,A026,GO
PARAUNA,Operante,-16.962500000000000000000000000000,-50.425555540000000000000000000000,-50.425555540000000000000000000000,A027,GO
IPORA,Operante,-16.423055540000000000000000000000,-51.148888880000000000000000000000,-51.148888880000000000000000000000,A028,GO
EDEIA,Operante,-17.336944440000000000000000000000,-49.914722220000000000000000000000,-49.914722220000000000000000000000,A029,GO
SAO MIGUEL DO ARAGUAIA,Pane,-12.820555540000000000000000000000,-50.335833330000000000000000000000,-50.335833330000000000000000000000,A031,GO
MONTE ALEGRE DE GOIAS,Operante,-13.253611110000000000000000000000,-46.890277770000000000000000000000,-46.890277770000000000000000000000,A032,GO
PIRES DO RIO,Operante,-17.304166660000000000000000000000,-48.284166660000000000000000000000,-48.284166660000000000000000000000,A033,GO
CATALAO,Operante,-18.154779000000000000000000000000,-47.927614000000000000000000000000,-47.927614000000000000000000000000,A034,GO
ITUMBIARA,Operante,-18.409722220000000000000000000000,-49.191944440000000000000000000000,-49.191944440000000000000000000000,A035,GO
CRISTALINA,Operante,-16.784999990000000000000000000000,-47.613055550000000000000000000000,-47.613055550000000000000000000000,A036,GO
SILVANIA,Operante,-16.679722210000000000000000000000,-48.618055540000000000000000000000,-48.618055540000000000000000000000,A037,GO
DIANOPOLIS,Operante,-11.594444440000000000000000000000,-46.847222210000000000000000000000,-46.847222210000000000000000000000,A038,TO
FORMOSO DO ARAGUAIA,Operante,-11.887499990000000000000000000000,-49.608333330000000000000000000000,-49.608333330000000000000000000000,A039,TO
MATEIROS,Operante,-10.434444440000000000000000000000,-45.921944430000000000000000000000,-45.921944430000000000000000000000,A040,TO
MARIANOPOLIS DO TO,Operante,-9.576388880000000000000000000000,-49.723333320000000000000000000000,-49.723333320000000000000000000000,A041,TO
BRAZLANDIA,Operante,-15.599722210000000000000000000000,-48.131111100000000000000000000000,-48.131111100000000000000000000000,A042,DF
CAMPOS LINDOS,Pane,-8.154722220000000000000000000000,-46.639444440000000000000000000000,-46.639444440000000000000000000000,A043,TO
ARAGUATINS,Operante,-5.643611100000000000000000000000,-48.111944440000000000000000000000,-48.111944440000000000000000000000,A044,TO
AGUAS EMENDADAS,Operante,-15.596491000000000000000000000000,-47.625801000000000000000000000000,-47.625801000000000000000000000000,A045,DF
GAMA (PONTE ALTA),Operante,-15.935277770000000000000000000000,-48.137499990000000000000000000000,-48.137499990000000000000000000000,A046,DF
PARANOA (COOPA-DF),Operante,-16.012222000000000000000000000000,-47.557417000000000000000000000000,-47.557417000000000000000000000000,A047,DF
SANTA FE DO ARAGUAIA,Operante,-7.124191000000000000000000000000,-48.781267000000000000000000000000,-48.781267000000000000000000000000,A048,TO
COLINAS DO TOCANTINS,Operante,-8.092708000000000000000000000000,-48.478605000000000000000000000000,-48.478605000000000000000000000000,A049,TO
RIO SONO,Operante,-9.793363000000000000000000000000,-47.132732000000000000000000000000,-47.132732000000000000000000000000,A050,TO
PIUM,Operante,-10.476944430000000000000000000000,-49.629444430000000000000000000000,-49.629444430000000000000000000000,A051,TO
SANTA ROSA DO TOCANTINS,Operante,-11.428888880000000000000000000000,-48.184999990000000000000000000000,-48.184999990000000000000000000000,A052,TO
ALMAS,Operante,-11.284166660000000000000000000000,-47.212222220000000000000000000000,-47.212222220000000000000000000000,A053,TO
ARAGUACU,Pane,-12.592222210000000000000000000000,-49.528611100000000000000000000000,-49.528611100000000000000000000000,A054,TO
LAGOA DA CONFUSAO,Operante,-10.828286000000000000000000000000,-49.847882000000000000000000000000,-49.847882000000000000000000000000,A055,TO
CRISTALINA (FAZENDA SANTA MONICA),Operante,-16.399444440000000000000000000000,-47.625833320000000000000000000000,-47.625833320000000000000000000000,A056,GO
MANAUS,Operante,-3.103333330000000000000000000000,-60.016388880000000000000000000000,-60.016388880000000000000000000000,A101,AM
PARQUE ESTADUAL CHANDLESS,Pane,-9.358333330000000000000000000000,-69.926388880000000000000000000000,-69.926388880000000000000000000000,A102,AC
RIO BRANCO,Operante,-9.679722210000000000000000000000,-68.165277770000000000000000000000,-68.165277770000000000000000000000,A104,AC
CRUZEIRO DO SUL,Operante,-7.610555550000000000000000000000,-72.681111100000000000000000000000,-72.681111100000000000000000000000,A108,AC
EIRUNEPE,Pane,-6.650277770000000000000000000000,-69.868611100000000000000000000000,-69.868611100000000000000000000000,A109,AM
BOCA DO ACRE,Operante,-8.776666660000000000000000000000,-67.332499990000000000000000000000,-67.332499990000000000000000000000,A110,AM
LABREA,Operante,-7.260555550000000000000000000000,-64.788611100000000000000000000000,-64.788611100000000000000000000000,A111,AM
HUMAITA,Operante,-7.552500000000000000000000000000,-63.071388880000000000000000000000,-63.071388880000000000000000000000,A112,AM
APUI,Pane,-7.205555550000000000000000000000,-59.888611100000000000000000000000,-59.888611100000000000000000000000,A113,AM
COARI,Operante,-4.097499990000000000000000000000,-63.145277770000000000000000000000,-63.145277770000000000000000000000,A117,AM
MANACAPURU,Operante,-3.294722210000000000000000000000,-60.628333320000000000000000000000,-60.628333320000000000000000000000,A119,AM
AUTAZES,Operante,-3.583333330000000000000000000000,-59.129444430000000000000000000000,-59.129444430000000000000000000000,A120,AM
ITACOATIARA,Operante,-3.133333330000000000000000000000,-58.482777770000000000000000000000,-58.482777770000000000000000000000,A121,AM
MAUES,Operante,-3.398888880000000000000000000000,-57.673888880000000000000000000000,-57.673888880000000000000000000000,A122,AM
PARINTINS,Operante,-2.639166660000000000000000000000,-56.756111110000000000000000000000,-56.756111110000000000000000000000,A123,AM
URUCARA,Operante,-2.534722210000000000000000000000,-57.758055550000000000000000000000,-57.758055550000000000000000000000,A124,AM
RIO URUBU,Operante,-2.633611100000000000000000000000,-59.600555550000000000000000000000,-59.600555550000000000000000000000,A125,AM
PRESIDENTE FIGUEIREDO,Pane,-2.056666660000000000000000000000,-60.025833320000000000000000000000,-60.025833320000000000000000000000,A126,AM
BARCELOS,Operante,-0.987222210000000000000000000000,-62.924166660000000000000000000000,-62.924166660000000000000000000000,A128,AM
MANICORE,Operante,-5.788611100000000000000000000000,-61.288333330000000000000000000000,-61.288333330000000000000000000000,A133,AM
S. G. DA CACHOEIRA,Operante,-0.125207000000000000000000000000,-67.061246000000000000000000000000,-67.061246000000000000000000000000,A134,AM
BOA VISTA,Operante,2.816944430000000000000000000000,-60.690833330000000000000000000000,-60.690833330000000000000000000000,A135,RR
PORTO WALTER,Pane,-8.267222210000000000000000000000,-72.747777770000000000000000000000,-72.747777770000000000000000000000,A136,AC
MARECHAL THAUMATURGO,Pane,-8.950000000000000000000000000000,-72.786666660000000000000000000000,-72.786666660000000000000000000000,A137,AC
FEIJO,Operante,-8.142777770000000000000000000000,-70.343611100000000000000000000000,-70.343611100000000000000000000000,A138,AC
EPITACIOLANDIA,Operante,-11.023888880000000000000000000000,-68.735277770000000000000000000000,-68.735277770000000000000000000000,A140,AC
NOVO ARIPUANA,Operante,-8.091111100000000000000000000000,-60.380555540000000000000000000000,-60.380555540000000000000000000000,A144,AM
BELEM,Operante,-1.411228000000000000000000000000,-48.439512000000000000000000000000,-48.439512000000000000000000000000,A201,PA
CASTANHAL,Operante,-1.300833330000000000000000000000,-47.948055550000000000000000000000,-47.948055550000000000000000000000,A202,PA
SAO LUIS,Operante,-2.526666660000000000000000000000,-44.213611110000000000000000000000,-44.213611110000000000000000000000,A203,MA
BALSAS,Operante,-7.455555550000000000000000000000,-46.027499990000000000000000000000,-46.027499990000000000000000000000,A204,MA
CAROLINA,Pane,-7.337222210000000000000000000000,-47.459722220000000000000000000000,-47.459722220000000000000000000000,A205,MA
CHAPADINHA,Operante,-3.742777770000000000000000000000,-43.352222220000000000000000000000,-43.352222220000000000000000000000,A206,MA
GRAJAU,Operante,-5.816111110000000000000000000000,-46.162222220000000000000000000000,-46.162222220000000000000000000000,A207,MA
MEDICILANDIA,Operante,-3.510833330000000000000000000000,-52.963333330000000000000000000000,-52.963333330000000000000000000000,A209,PA
PACAJA,Pane,-3.843611100000000000000000000000,-50.638055550000000000000000000000,-50.638055550000000000000000000000,A210,PA
PLACAS,Operante,-3.864166660000000000000000000000,-54.216388880000000000000000000000,-54.216388880000000000000000000000,A211,PA
PARAGOMINAS,Operante,-2.900555550000000000000000000000,-47.494999990000000000000000000000,-47.494999990000000000000000000000,A212,PA
TOME ACU,Operante,-2.592499990000000000000000000000,-48.360555550000000000000000000000,-48.360555550000000000000000000000,A213,PA
RONDON DO PARA,Operante,-4.827499990000000000000000000000,-48.173611100000000000000000000000,-48.173611100000000000000000000000,A214,PA
SALINOPOLIS,Operante,-0.618888880000000000000000000000,-47.356666660000000000000000000000,-47.356666660000000000000000000000,A215,PA
SAO FELIX DO XINGU,Pane,-6.639722210000000000000000000000,-51.956944440000000000000000000000,-51.956944440000000000000000000000,A216,PA
FAROL de SANTANA,Pane,-2.270833320000000000000000000000,-43.624166660000000000000000000000,-43.624166660000000000000000000000,A217,MA
PREGUICAS,Operante,-2.592222210000000000000000000000,-42.707500000000000000000000000000,-42.707500000000000000000000000000,A218,MA
TURIACU,Operante,-1.661111110000000000000000000000,-45.372499990000000000000000000000,-45.372499990000000000000000000000,A219,MA
BACABAL,Operante,-4.243055550000000000000000000000,-44.794999990000000000000000000000,-44.794999990000000000000000000000,A220,MA
BARRA DO CORDA,Pane,-5.506666660000000000000000000000,-45.236944440000000000000000000000,-45.236944440000000000000000000000,A221,MA
